timestamp,total_pkt_cnt,tcp_cnt,udp_cnt,icmp_cnt,syn_cnt,ack_cnt,unique_dst_port_cnt,unique_src_ip_cnt,dns_query_cnt,gratuitous_arp_cnt,failed_login_cnt,mac_change_cnt,label
1779274345,26,0,25,1,0,0,11,4,14,0,0,0,5
1779274350,157,0,150,0,0,0,77,3,74,3,0,0,5
1779274355,195,1,193,1,0,1,96,5,98,0,0,0,5
1779274360,204,6,197,1,0,6,99,5,98,0,0,0,5
1779274365,182,0,181,1,0,0,89,4,92,0,0,0,5
1779274370,81,0,63,0,0,0,27,5,24,1,0,0,5
1779274375,115,0,111,2,0,0,55,5,56,0,0,0,5
1779274380,243,1,236,1,0,1,118,6,118,2,0,0,5
1779274385,236,2,233,1,0,2,118,5,116,0,0,0,5
1779274390,138,3,131,1,0,3,66,5,66,1,0,0,5
1779274395,167,0,150,0,0,0,70,4,70,0,0,0,5
1779274400,200,1,195,1,0,1,97,6,96,0,0,0,5
1779274405,206,0,203,1,0,0,101,4,102,1,0,0,5
1779274410,175,1,169,1,0,1,86,5,84,2,0,0,5
1779274415,125,0,121,0,0,0,60,4,60,0,0,0,5
1779274420,164,2,144,1,0,2,73,6,72,0,0,0,5
1779274425,183,1,173,1,0,1,88,5,86,1,0,0,5
1779274430,98,2,94,0,0,2,48,6,46,0,0,0,5
1779274435,5,1,2,0,0,1,2,3,2,0,0,0,5
1779274440,87,0,79,3,0,0,39,4,40,2,0,0,5
1779274445,194,0,191,1,0,0,95,4,96,1,0,0,5
1779274450,225,2,221,1,0,2,112,5,110,0,0,0,5
1779274455,182,0,181,1,0,0,88,4,92,0,0,0,5
1779274460,143,1,142,0,0,1,73,4,70,0,0,0,5
1779274465,21,1,16,0,0,1,10,4,8,2,0,0,5
1779274470,173,1,169,1,0,1,85,5,85,1,0,0,5
1779274475,188,0,187,1,0,0,93,4,94,0,0,0,5
1779274480,186,1,168,1,0,1,79,7,78,0,0,0,5
1779274485,5,0,1,0,0,0,1,1,0,1,0,0,5
1779274490,6,1,3,0,0,1,3,3,0,0,0,0,5
1779274495,1,0,0,0,0,0,0,0,0,0,0,0,5
1779274500,2,0,0,0,0,0,0,0,0,0,0,0,5
1779274505,2,2,0,0,0,2,1,1,0,0,0,0,5
1779274510,12,2,1,0,0,2,2,2,0,0,0,0,5
1779274530,59,0,55,0,0,0,27,4,28,1,0,0,5
1779274535,168,0,162,0,0,0,81,3,82,3,0,0,5
1779274540,191,1,189,1,0,1,97,5,94,0,0,0,5
1779274545,149,0,143,1,0,0,70,5,72,0,0,0,5
1779274550,122,1,110,1,0,1,52,7,50,0,0,0,5
1779274555,6,0,3,0,0,0,2,3,2,0,0,0,5
1779274560,26,2,17,2,0,2,11,5,8,1,0,0,5
1779274565,106,0,100,0,0,0,51,3,50,3,0,0,5
1779274570,95,4,73,0,0,4,33,4,26,0,0,0,5
1779274580,126,2,121,1,0,2,60,5,62,0,0,0,5
1779274585,235,8,223,1,0,8,112,5,112,1,0,0,5
1779274590,169,2,166,1,0,2,85,6,82,0,0,0,5
1779274595,120,2,112,0,0,2,58,4,56,3,0,0,5
1779274600,150,1,147,1,0,1,74,5,74,0,0,0,5
